,"('G', 'G')","('G', 'J')","('G', 'H')","('G', 'E')","('G', 'F')","('G', 'D')","('G', 'A')","('G', 'C')","('G', 'I')","('G', 'B')","('J', 'G')","('J', 'J')","('J', 'H')","('J', 'E')","('J', 'F')","('J', 'D')","('J', 'A')","('J', 'C')","('J', 'I')","('J', 'B')","('H', 'G')","('H', 'J')","('H', 'H')","('H', 'E')","('H', 'F')","('H', 'D')","('H', 'A')","('H', 'C')","('H', 'I')","('H', 'B')","('E', 'G')","('E', 'J')","('E', 'H')","('E', 'E')","('E', 'F')","('E', 'D')","('E', 'A')","('E', 'C')","('E', 'I')","('E', 'B')","('F', 'G')","('F', 'J')","('F', 'H')","('F', 'E')","('F', 'F')","('F', 'D')","('F', 'A')","('F', 'C')","('F', 'I')","('F', 'B')","('D', 'G')","('D', 'J')","('D', 'H')","('D', 'E')","('D', 'F')","('D', 'D')","('D', 'A')","('D', 'C')","('D', 'I')","('D', 'B')","('A', 'G')","('A', 'J')","('A', 'H')","('A', 'E')","('A', 'F')","('A', 'D')","('A', 'A')","('A', 'C')","('A', 'I')","('A', 'B')","('C', 'G')","('C', 'J')","('C', 'H')","('C', 'E')","('C', 'F')","('C', 'D')","('C', 'A')","('C', 'C')","('C', 'I')","('C', 'B')","('I', 'G')","('I', 'J')","('I', 'H')","('I', 'E')","('I', 'F')","('I', 'D')","('I', 'A')","('I', 'C')","('I', 'I')","('I', 'B')","('B', 'G')","('B', 'J')","('B', 'H')","('B', 'E')","('B', 'F')","('B', 'D')","('B', 'A')","('B', 'C')","('B', 'I')","('B', 'B')"
10,,,,,,,10.904925124490397,,,,,,9.011647870223289,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,
11,,,,,,,10.904925124490397,,,,,,9.011647870223289,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,
12,,,,,,,10.904925124490397,,,,,,9.011647870223289,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,13.921795677048454,,,13.094304566778266,,,,,,,,,,,10.904925124490397,,,,13.921795677048454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,
13,,,,,,,10.904925124490397,,,,,,9.011647870223289,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,13.921795677048454,,,13.094304566778266,,,,,,,,,,,10.904925124490397,,,,13.921795677048454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,
14,,,,,,,10.904925124490397,,,,,,9.011647870223289,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,13.921795677048454,,,13.094304566778266,,,,,,,,,,,10.904925124490397,,,,13.921795677048454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,
15,,,,,,,10.904925124490397,,,,,,9.011647870223289,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,13.921795677048454,,,13.094304566778266,,,,,,,,,,,10.904925124490397,,,,13.921795677048454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,
16,,,,,,,10.904925124490397,,,,,,9.011647870223289,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,13.921795677048454,,,,,,,,,,,,,,10.904925124490397,,,,13.921795677048454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,10.904925124490397,,,,,,9.011647870223289,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,13.921795677048454,,,13.094304566778266,,,,,,,,,,,10.904925124490397,,,,13.921795677048454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,
18,,,,,,,10.904925124490397,,,,,,9.011647870223289,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,13.921795677048454,,,13.094304566778266,,,,,,,,,,,10.904925124490397,,,,13.921795677048454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,
19,,,,,,,,,,,,,9.011647870223289,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,13.921795677048454,,,13.094304566778266,,,,,,,,,,,,,,,13.921795677048454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,
20,,,,13.341104266407502,,,10.904925124490397,,,,,,9.011647870223289,,,,,,,,,9.011647870223289,,,,,,,,,13.341104266407502,,,,,,,,,,,,,,,,13.921795677048454,,,13.094304566778266,,,,,,,,,,,10.904925124490397,,,,13.921795677048454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,
21,,,,,,,10.904925124490397,,,,,,9.011647870223289,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,13.921795677048454,,,13.094304566778266,,,,,,,,,,,10.904925124490397,,,,13.921795677048454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,
22,,,,13.341104266407502,,,10.904925124490397,,,,,,9.011647870223289,,,,,,,,,9.011647870223289,,,,,,,,,13.341104266407502,,,,,,,,,,,,,,,,13.921795677048454,,,13.094304566778266,,,,,,,,,,,10.904925124490397,,,,13.921795677048454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,
23,,,,13.341104266407502,,,10.904925124490397,,,,,,9.011647870223289,,,,,,,,,9.011647870223289,,,,,,,,,13.341104266407502,,,,,,,,,,,,,,,,13.921795677048454,,,13.094304566778266,,,,,,,,,,,10.904925124490397,,,,13.921795677048454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,
24,,,,13.341104266407502,,,10.904925124490397,,,,,,9.011647870223289,,,,,,,,,9.011647870223289,,,,,,,,,13.341104266407502,,,,,,,,,,,,,,,,13.921795677048454,,,13.094304566778266,,,,,,,,,,,10.904925124490397,,,,13.921795677048454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,
25,,,,13.341104266407502,,,10.904925124490397,,,,,,9.011647870223289,,,,5.265359696838637,,,,,9.011647870223289,,,,,,,,,13.341104266407502,,,,,,,,,,,,,,,,13.921795677048454,,,13.094304566778266,,,,,,,,,,,10.904925124490397,5.265359696838637,,,13.921795677048454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,
26,,,,13.341104266407502,,,10.904925124490397,,,,,,9.011647870223289,,,,5.265359696838637,,,,,9.011647870223289,,8.701809671168826,,,,,,,13.341104266407502,,8.701809671168826,,,,,,,,,,,,,,13.921795677048454,,,13.094304566778266,,,,,,,,,,,10.904925124490397,5.265359696838637,,,13.921795677048454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,
27,,,,13.341104266407502,,,10.904925124490397,,,,,,9.011647870223289,,,,5.265359696838637,,,,,9.011647870223289,,8.701809671168826,,,5.297972194380703,,,,13.341104266407502,,8.701809671168826,,,,,,,,,,,,,,13.921795677048454,11.037260313668911,,13.094304566778266,,,,,,,,,,,10.904925124490397,5.265359696838637,5.297972194380703,,13.921795677048454,,,,,11.394267984578835,,,,,11.037260313668911,,,,,,,,,,,,,,,7.7787134167164185,,,,,13.094304566778266,,11.394267984578835,,7.7787134167164185,
28,,,11.881619584333132,13.341104266407502,,,10.904925124490397,,,,,,9.011647870223289,,,,5.265359696838637,,,,11.881619584333132,9.011647870223289,,8.701809671168826,,,5.297972194380703,,,,13.341104266407502,,8.701809671168826,,,,,,,,,,,,,,13.921795677048454,11.037260313668911,,13.094304566778266,,,,,,,,,,,10.904925124490397,5.265359696838637,5.297972194380703,,13.921795677048454,,,,,11.394267984578835,,,,,11.037260313668911,,,,,,,,,,,,,,,7.7787134167164185,,,,,13.094304566778266,,11.394267984578835,,7.7787134167164185,
29,,,11.881619584333132,13.341104266407502,,,10.904925124490397,,,,,,9.011647870223289,,,,5.265359696838637,,,,11.881619584333132,9.011647870223289,,8.701809671168826,,,5.297972194380703,,,,13.341104266407502,,8.701809671168826,,,,,,,,,,,,,,13.921795677048454,11.037260313668911,,13.094304566778266,,,,,,,,,14.852215206607578,,10.904925124490397,5.265359696838637,5.297972194380703,,13.921795677048454,,,,,11.394267984578835,,,,,11.037260313668911,,,,,,,,,,,14.852215206607578,,,,7.7787134167164185,,,,,13.094304566778266,,11.394267984578835,,7.7787134167164185,
30,,,11.881619584333132,13.341104266407502,,,10.904925124490397,,,,,,9.011647870223289,,,,5.265359696838637,,,,11.881619584333132,9.011647870223289,,8.701809671168826,,,5.297972194380703,,,,13.341104266407502,,8.701809671168826,,,,,,,,,,,,,,13.921795677048454,11.037260313668911,,13.094304566778266,,,,,,,,,14.852215206607578,,10.904925124490397,5.265359696838637,5.297972194380703,,13.921795677048454,,,,,11.394267984578835,,,,,11.037260313668911,,,,,,,,,,,14.852215206607578,,,,7.7787134167164185,,,,,13.094304566778266,,11.394267984578835,,7.7787134167164185,
31,,,,13.341104266407502,,,10.904925124490397,,,,,,9.011647870223289,,,,5.265359696838637,,,,,9.011647870223289,,8.701809671168826,,,5.297972194380703,,,,13.341104266407502,,8.701809671168826,,,,,,,,,,,,,,13.921795677048454,11.037260313668911,,13.094304566778266,,,,,,,,,14.852215206607578,,10.904925124490397,5.265359696838637,5.297972194380703,,13.921795677048454,,,12.415504997598328,,11.394267984578835,,,,,11.037260313668911,,12.415504997598328,,,,,,,,,14.852215206607578,,,,7.7787134167164185,,,,,13.094304566778266,,11.394267984578835,,7.7787134167164185,
32,,,11.881619584333132,13.341104266407502,,,,,,12.588073671297673,,,,,,,5.265359696838637,,,,11.881619584333132,,,8.701809671168826,,,5.297972194380703,,,,13.341104266407502,,8.701809671168826,,,,,,,,,,,,,,13.921795677048454,11.037260313668911,,13.094304566778266,,,,,,,,,14.852215206607578,,,5.265359696838637,5.297972194380703,,13.921795677048454,,,12.415504997598328,,11.394267984578835,,,,,11.037260313668911,,12.415504997598328,,,,,,,,,14.852215206607578,,,,7.7787134167164185,12.588073671297673,,,,13.094304566778266,,11.394267984578835,,7.7787134167164185,
33,,,11.881619584333132,13.341104266407502,,,10.904925124490397,,,12.588073671297673,,,9.011647870223289,,,,5.265359696838637,,,,11.881619584333132,9.011647870223289,,8.701809671168826,,,5.297972194380703,,,,13.341104266407502,,8.701809671168826,,,,,,,,,,,,,,13.921795677048454,11.037260313668911,,13.094304566778266,,,,,,,,,14.852215206607578,,10.904925124490397,5.265359696838637,5.297972194380703,,13.921795677048454,,,12.415504997598328,,11.394267984578835,,,,,11.037260313668911,,12.415504997598328,,,,,,,,,14.852215206607578,,,,7.7787134167164185,12.588073671297673,,,,13.094304566778266,,11.394267984578835,,7.7787134167164185,
34,,,,13.341104266407502,,,10.904925124490397,,,12.588073671297673,,,,,,,5.265359696838637,,,,,,,8.701809671168826,,,5.297972194380703,,,,13.341104266407502,,8.701809671168826,,,,,,,,,,,,,,13.921795677048454,,,13.094304566778266,,,,,,,,,14.852215206607578,,10.904925124490397,5.265359696838637,5.297972194380703,,13.921795677048454,,,12.415504997598328,,11.394267984578835,,,,,,,12.415504997598328,,,,,,,,,14.852215206607578,,,,7.7787134167164185,12.588073671297673,,,,13.094304566778266,,11.394267984578835,,7.7787134167164185,
35,,,,13.341104266407502,,,,,,12.588073671297673,,,9.011647870223289,,,,5.265359696838637,,,,,9.011647870223289,,8.701809671168826,,,5.297972194380703,,,,13.341104266407502,,8.701809671168826,,,,,,,9.492090462838537,,,,,,,13.921795677048454,11.037260313668911,,13.094304566778266,,,,,,,,,14.852215206607578,,,5.265359696838637,5.297972194380703,,13.921795677048454,,,12.415504997598328,,,,,,,11.037260313668911,,12.415504997598328,,,,,,,,,14.852215206607578,,,,7.7787134167164185,12.588073671297673,,,9.492090462838537,13.094304566778266,,,,7.7787134167164185,
36,,,11.881619584333132,13.341104266407502,,,10.904925124490397,,,12.588073671297673,,,9.011647870223289,,,,5.265359696838637,,,,11.881619584333132,9.011647870223289,,8.701809671168826,,,5.297972194380703,,,,13.341104266407502,,8.701809671168826,,,,,,,9.492090462838537,,,,,,,13.921795677048454,11.037260313668911,,13.094304566778266,,,,,,,,,14.852215206607578,,10.904925124490397,5.265359696838637,5.297972194380703,,13.921795677048454,,,12.415504997598328,,11.394267984578835,,,,,11.037260313668911,,12.415504997598328,,,,,,,,,14.852215206607578,,,,7.7787134167164185,12.588073671297673,,,9.492090462838537,13.094304566778266,,11.394267984578835,,7.7787134167164185,
37,,,11.881619584333132,13.341104266407502,,,10.904925124490397,,,12.588073671297673,,,9.011647870223289,,,,5.265359696838637,,,,11.881619584333132,9.011647870223289,,8.701809671168826,,7.278982756515468,,,,,13.341104266407502,,8.701809671168826,,,,,,,9.492090462838537,,,,,,,13.921795677048454,11.037260313668911,,13.094304566778266,,,7.278982756515468,,,,,,14.852215206607578,,10.904925124490397,5.265359696838637,,,13.921795677048454,,,12.415504997598328,,11.394267984578835,,,,,11.037260313668911,,12.415504997598328,,5.788001980784582,,,,,,,14.852215206607578,,5.788001980784582,,7.7787134167164185,12.588073671297673,,,9.492090462838537,13.094304566778266,,11.394267984578835,,7.7787134167164185,
38,,,11.881619584333132,13.341104266407502,,,10.904925124490397,,,12.588073671297673,,,9.011647870223289,,,,5.265359696838637,,,,11.881619584333132,9.011647870223289,,8.701809671168826,,7.278982756515468,5.297972194380703,,,,13.341104266407502,,8.701809671168826,,,,,,,9.492090462838537,,,,,,,13.921795677048454,11.037260313668911,,13.094304566778266,,,7.278982756515468,,,,,,,,10.904925124490397,5.265359696838637,5.297972194380703,,13.921795677048454,,,12.415504997598328,,11.394267984578835,,,,,11.037260313668911,,12.415504997598328,,5.788001980784582,,,,,,,,,5.788001980784582,,7.7787134167164185,12.588073671297673,,,9.492090462838537,13.094304566778266,,11.394267984578835,,7.7787134167164185,
39,,,11.881619584333132,13.341104266407502,,,10.904925124490397,,,12.588073671297673,,,9.011647870223289,,,,5.265359696838637,,,,11.881619584333132,9.011647870223289,,8.701809671168826,,7.278982756515468,5.297972194380703,,,,13.341104266407502,,8.701809671168826,,,,,,,9.492090462838537,,,,,,,13.921795677048454,11.037260313668911,,13.094304566778266,,,7.278982756515468,,,,,,14.852215206607578,,10.904925124490397,5.265359696838637,5.297972194380703,,13.921795677048454,,,12.415504997598328,,11.394267984578835,,,,,11.037260313668911,,12.415504997598328,,,,,,,,,14.852215206607578,,,,7.7787134167164185,12.588073671297673,,,9.492090462838537,13.094304566778266,,11.394267984578835,,7.7787134167164185,
40,,,,13.341104266407502,,,10.904925124490397,,,12.588073671297673,,,9.011647870223289,,,,5.265359696838637,,,,,9.011647870223289,,8.701809671168826,,7.278982756515468,5.297972194380703,,13.218025940068083,,13.341104266407502,,8.701809671168826,,,,,,,9.492090462838537,,,,,,,13.921795677048454,11.037260313668911,,13.094304566778266,,,7.278982756515468,,,,,,14.852215206607578,,10.904925124490397,5.265359696838637,5.297972194380703,,13.921795677048454,,,12.415504997598328,,11.394267984578835,,,,,11.037260313668911,,12.415504997598328,,5.788001980784582,,,,13.218025940068083,,,14.852215206607578,,5.788001980784582,,7.7787134167164185,12.588073671297673,,,9.492090462838537,13.094304566778266,,11.394267984578835,,7.7787134167164185,
41,,,,13.341104266407502,,,10.904925124490397,,,12.588073671297673,,,9.011647870223289,,,,5.265359696838637,,,,,9.011647870223289,,8.701809671168826,,7.278982756515468,5.297972194380703,,13.218025940068083,,13.341104266407502,,8.701809671168826,,,,,,,9.492090462838537,,,,,,,13.921795677048454,11.037260313668911,,13.094304566778266,,,7.278982756515468,,,,,,14.852215206607578,,10.904925124490397,5.265359696838637,5.297972194380703,,13.921795677048454,,,12.415504997598328,,11.394267984578835,,,,,11.037260313668911,,12.415504997598328,,5.788001980784582,,,,13.218025940068083,,,14.852215206607578,,5.788001980784582,,7.7787134167164185,12.588073671297673,,,9.492090462838537,13.094304566778266,,11.394267984578835,,7.7787134167164185,
42,,,11.881619584333132,13.341104266407502,,,10.904925124490397,,,12.588073671297673,,,9.011647870223289,,,,5.265359696838637,,,,11.881619584333132,9.011647870223289,,8.701809671168826,,7.278982756515468,5.297972194380703,,13.218025940068083,,13.341104266407502,,8.701809671168826,,,,,,,9.492090462838537,,,,,,,13.921795677048454,11.037260313668911,,13.094304566778266,,,7.278982756515468,,,,,,14.852215206607578,,10.904925124490397,5.265359696838637,5.297972194380703,,13.921795677048454,,,12.415504997598328,,,,,,,11.037260313668911,,12.415504997598328,,5.788001980784582,,,,13.218025940068083,,,14.852215206607578,,5.788001980784582,,7.7787134167164185,12.588073671297673,,,9.492090462838537,13.094304566778266,,,,7.7787134167164185,
43,,,11.881619584333132,13.341104266407502,,,10.904925124490397,,,12.588073671297673,,,9.011647870223289,,,,5.265359696838637,,,,11.881619584333132,9.011647870223289,,8.701809671168826,,7.278982756515468,5.297972194380703,,13.218025940068083,11.981393949882268,13.341104266407502,,8.701809671168826,,,,,,,9.492090462838537,,,,,,,,11.037260313668911,,13.094304566778266,,,7.278982756515468,,,,,,14.852215206607578,,10.904925124490397,5.265359696838637,5.297972194380703,,,,,12.415504997598328,,,,,,,11.037260313668911,,12.415504997598328,,5.788001980784582,,,,13.218025940068083,,,14.852215206607578,,5.788001980784582,,7.7787134167164185,12.588073671297673,,11.981393949882268,9.492090462838537,13.094304566778266,,,,7.7787134167164185,
44,,,11.881619584333132,13.341104266407502,,,10.904925124490397,,,12.588073671297673,,,9.011647870223289,,,,5.265359696838637,,,,11.881619584333132,9.011647870223289,,8.701809671168826,,7.278982756515468,5.297972194380703,,13.218025940068083,11.981393949882268,13.341104266407502,,8.701809671168826,,,,,5.96716376833464,,9.492090462838537,,,,,,,13.921795677048454,11.037260313668911,,13.094304566778266,,,7.278982756515468,,,,,,14.852215206607578,,10.904925124490397,5.265359696838637,5.297972194380703,,13.921795677048454,,,12.415504997598328,,11.394267984578835,,,,5.96716376833464,11.037260313668911,,12.415504997598328,,5.788001980784582,,,,13.218025940068083,,,14.852215206607578,,5.788001980784582,,7.7787134167164185,12.588073671297673,,11.981393949882268,9.492090462838537,13.094304566778266,,11.394267984578835,,7.7787134167164185,
45,,,,13.341104266407502,,,10.904925124490397,,,12.588073671297673,,,,,,,5.265359696838637,,,,,,,8.701809671168826,,7.278982756515468,5.297972194380703,,13.218025940068083,11.981393949882268,13.341104266407502,,8.701809671168826,,,,,5.96716376833464,,9.492090462838537,,,,,,,13.921795677048454,11.037260313668911,,13.094304566778266,,,7.278982756515468,,,,,,14.852215206607578,,10.904925124490397,5.265359696838637,5.297972194380703,,13.921795677048454,,,12.415504997598328,,11.394267984578835,,,,5.96716376833464,11.037260313668911,,12.415504997598328,,5.788001980784582,,,,13.218025940068083,,,14.852215206607578,,5.788001980784582,,7.7787134167164185,12.588073671297673,,11.981393949882268,9.492090462838537,13.094304566778266,,11.394267984578835,,7.7787134167164185,
