,"('E', 'E')","('E', 'F')","('E', 'J')","('E', 'K')","('E', 'C')","('E', 'B')","('E', 'O')","('E', 'N')","('E', 'D')","('E', 'H')","('E', 'L')","('E', 'A')","('E', 'M')","('E', 'I')","('E', 'G')","('F', 'E')","('F', 'F')","('F', 'J')","('F', 'K')","('F', 'C')","('F', 'B')","('F', 'O')","('F', 'N')","('F', 'D')","('F', 'H')","('F', 'L')","('F', 'A')","('F', 'M')","('F', 'I')","('F', 'G')","('J', 'E')","('J', 'F')","('J', 'J')","('J', 'K')","('J', 'C')","('J', 'B')","('J', 'O')","('J', 'N')","('J', 'D')","('J', 'H')","('J', 'L')","('J', 'A')","('J', 'M')","('J', 'I')","('J', 'G')","('K', 'E')","('K', 'F')","('K', 'J')","('K', 'K')","('K', 'C')","('K', 'B')","('K', 'O')","('K', 'N')","('K', 'D')","('K', 'H')","('K', 'L')","('K', 'A')","('K', 'M')","('K', 'I')","('K', 'G')","('C', 'E')","('C', 'F')","('C', 'J')","('C', 'K')","('C', 'C')","('C', 'B')","('C', 'O')","('C', 'N')","('C', 'D')","('C', 'H')","('C', 'L')","('C', 'A')","('C', 'M')","('C', 'I')","('C', 'G')","('B', 'E')","('B', 'F')","('B', 'J')","('B', 'K')","('B', 'C')","('B', 'B')","('B', 'O')","('B', 'N')","('B', 'D')","('B', 'H')","('B', 'L')","('B', 'A')","('B', 'M')","('B', 'I')","('B', 'G')","('O', 'E')","('O', 'F')","('O', 'J')","('O', 'K')","('O', 'C')","('O', 'B')","('O', 'O')","('O', 'N')","('O', 'D')","('O', 'H')","('O', 'L')","('O', 'A')","('O', 'M')","('O', 'I')","('O', 'G')","('N', 'E')","('N', 'F')","('N', 'J')","('N', 'K')","('N', 'C')","('N', 'B')","('N', 'O')","('N', 'N')","('N', 'D')","('N', 'H')","('N', 'L')","('N', 'A')","('N', 'M')","('N', 'I')","('N', 'G')","('D', 'E')","('D', 'F')","('D', 'J')","('D', 'K')","('D', 'C')","('D', 'B')","('D', 'O')","('D', 'N')","('D', 'D')","('D', 'H')","('D', 'L')","('D', 'A')","('D', 'M')","('D', 'I')","('D', 'G')","('H', 'E')","('H', 'F')","('H', 'J')","('H', 'K')","('H', 'C')","('H', 'B')","('H', 'O')","('H', 'N')","('H', 'D')","('H', 'H')","('H', 'L')","('H', 'A')","('H', 'M')","('H', 'I')","('H', 'G')","('L', 'E')","('L', 'F')","('L', 'J')","('L', 'K')","('L', 'C')","('L', 'B')","('L', 'O')","('L', 'N')","('L', 'D')","('L', 'H')","('L', 'L')","('L', 'A')","('L', 'M')","('L', 'I')","('L', 'G')","('A', 'E')","('A', 'F')","('A', 'J')","('A', 'K')","('A', 'C')","('A', 'B')","('A', 'O')","('A', 'N')","('A', 'D')","('A', 'H')","('A', 'L')","('A', 'A')","('A', 'M')","('A', 'I')","('A', 'G')","('M', 'E')","('M', 'F')","('M', 'J')","('M', 'K')","('M', 'C')","('M', 'B')","('M', 'O')","('M', 'N')","('M', 'D')","('M', 'H')","('M', 'L')","('M', 'A')","('M', 'M')","('M', 'I')","('M', 'G')","('I', 'E')","('I', 'F')","('I', 'J')","('I', 'K')","('I', 'C')","('I', 'B')","('I', 'O')","('I', 'N')","('I', 'D')","('I', 'H')","('I', 'L')","('I', 'A')","('I', 'M')","('I', 'I')","('I', 'G')","('G', 'E')","('G', 'F')","('G', 'J')","('G', 'K')","('G', 'C')","('G', 'B')","('G', 'O')","('G', 'N')","('G', 'D')","('G', 'H')","('G', 'L')","('G', 'A')","('G', 'M')","('G', 'I')","('G', 'G')"
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.272948151106249,,,,,,,4.96921177879121,,,,,,,,,,,,,,,,,,,,,9.272948151106249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.306135258436866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.96921177879121,,,,,,,,,,,,,,,,,,,,4.306135258436866,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.272948151106249,,,,,,11.128490477670148,4.96921177879121,,,,,,,,,,,,,,,,,,,,,9.272948151106249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.306135258436866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.128490477670148,,,,,,,,,,,,,,,4.96921177879121,,,,,,,,,,,,,,,,,,,,4.306135258436866,,,,,
12,,,,,,,,,,,,,,,8.364480681578453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.272948151106249,,,,,,11.128490477670148,4.96921177879121,,,,,,,,,,,,,,,,,,,,,9.272948151106249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.306135258436866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.128490477670148,,,,,,,,,,,,,,,4.96921177879121,,,,,,,,,,,8.364480681578453,,,,,,,,,4.306135258436866,,,,,
13,,,,,,,,,,,,,,,8.364480681578453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.272948151106249,,,,,,11.128490477670148,4.96921177879121,,,,,,,,,,,,,,,,,,,,,9.272948151106249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.306135258436866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.128490477670148,,,,,,,,,,,,,,,4.96921177879121,,,,,,,,,,,8.364480681578453,,,,,,,,,4.306135258436866,,,,,
14,,,,,,,,,,,,,,,8.364480681578453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.272948151106249,,,,,,11.128490477670148,4.96921177879121,,,,,,,,,,,,,,,,,,,,,9.272948151106249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.306135258436866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.128490477670148,,,,,,,,,,,,,,,4.96921177879121,,,,,,,,,,,8.364480681578453,,,,,,,,,4.306135258436866,,,,,
15,,,,,,,,5.478070154289215,,,,,,,8.364480681578453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.272948151106249,,,,,,11.128490477670148,4.96921177879121,,,,,,,,,,,,,,,,,,,,,9.272948151106249,,,,,,,,,,,5.478070154289215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.306135258436866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.128490477670148,,,,,,,,,,,,,,,4.96921177879121,,,,,,,,,,,8.364480681578453,,,,,,,,,4.306135258436866,,,,,
16,,,,,,,,5.478070154289215,,,,,,,8.364480681578453,,,,,,,,,,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,4.053949198627297,,,,,,,,,,,,,,,,9.272948151106249,,,,,,11.128490477670148,4.96921177879121,,,,,4.053949198627297,,,,,,,,,,,,,,,,9.272948151106249,,,,,,,,,,,5.478070154289215,,,,,,,,,,,,,,,,,,,,,,,,,,,7.024386306169014,9.580020105187597,,,,,,,,,,,,,,,,4.306135258436866,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.128490477670148,,,,7.024386306169014,,,,,,,,,,,4.96921177879121,,,,9.580020105187597,,,,,,,8.364480681578453,,,,,,,,,4.306135258436866,,,,,
17,,,,,,,,5.478070154289215,,,,,,,8.364480681578453,,,,,,,,,,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,4.053949198627297,,,,,,,,,,,,,,,,9.272948151106249,,,,,,11.128490477670148,4.96921177879121,,,,,4.053949198627297,,,,,,,,,,,,,,,,9.272948151106249,,,,,,,,,,,5.478070154289215,,,,,,,,,,,,,,,,,,,,,,,,,,,7.024386306169014,9.580020105187597,,,,,,,,,,,,,,,,4.306135258436866,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.128490477670148,,,,7.024386306169014,,,,,,,,,,,4.96921177879121,,,,9.580020105187597,,,,,,,8.364480681578453,,,,,,,,,4.306135258436866,,,,,
18,,,,,,,,5.478070154289215,,,,,,,8.364480681578453,,,,,,,,,,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,4.053949198627297,,,,,,,,,,,,,,,,9.272948151106249,,,,,,11.128490477670148,4.96921177879121,,,,,4.053949198627297,,,,,,,,,,,,,,,,9.272948151106249,,,,,,,,,,,5.478070154289215,,,,,,,,,,,,,,,,,,,,,,,,,,,7.024386306169014,9.580020105187597,,,,,,,,,,,,,,,,4.306135258436866,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.128490477670148,,,,7.024386306169014,,,,,,,,,,,4.96921177879121,,,,9.580020105187597,,,,,,,8.364480681578453,,,,,,,,,4.306135258436866,,,,,
19,,,,,,,,5.478070154289215,,,,,,,8.364480681578453,,,,,,,,,,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,4.053949198627297,,,,,,,,,,,,,,,,9.272948151106249,,,,,,11.128490477670148,4.96921177879121,,,,,4.053949198627297,,,,,,,,,,,,,,,,9.272948151106249,,,,,,,,,,,5.478070154289215,,,,,,,,,,,,,,,,,,,,,,,,,,,7.024386306169014,9.580020105187597,,,,,,,,,,,,,,,,4.306135258436866,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.128490477670148,,,,7.024386306169014,,,,,,,,,,,4.96921177879121,,,,9.580020105187597,,,,,,,8.364480681578453,,,,,,,,,4.306135258436866,,,,,
20,,,,,,,,5.478070154289215,,,,,,,8.364480681578453,,,,,,,,,,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,4.053949198627297,,,,,,,,,,,,,,,,9.272948151106249,,,,,,11.128490477670148,4.96921177879121,,,,,4.053949198627297,,,,11.777919007789142,,,,,,,,,,,,9.272948151106249,,,,,,,,,,,5.478070154289215,,,,,11.777919007789142,,,,,,,,,,,,,,,,,,,,,,7.024386306169014,9.580020105187597,,,,,,,,,,,,,,,,4.306135258436866,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.128490477670148,,,,7.024386306169014,,,,,,,,,,,4.96921177879121,,,,9.580020105187597,,,,,,,8.364480681578453,,,,,,,,,4.306135258436866,,,,,
21,,,,,,,,5.478070154289215,,,,,,,8.364480681578453,,,,,,,,,,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,4.053949198627297,,,,,,,,,,,,,,,,9.272948151106249,,,,,,11.128490477670148,4.96921177879121,,,,,4.053949198627297,,,,11.777919007789142,,,,,,,,,,,,9.272948151106249,,,,,,,,,,,5.478070154289215,,,,,11.777919007789142,,,,,,,,,,,,,,,,,,,,,,7.024386306169014,9.580020105187597,,,,,,,,,,,,,,,,4.306135258436866,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.128490477670148,,,,7.024386306169014,,,,,,,,,,,4.96921177879121,,,,9.580020105187597,,,,,,,8.364480681578453,,,,,,,,,4.306135258436866,,,,,
22,,,,,,,,5.478070154289215,,,,,,,8.364480681578453,,,,,,,,,,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,4.053949198627297,,,,,,,,,,,,,,,,9.272948151106249,,,,,,11.128490477670148,4.96921177879121,,,,,4.053949198627297,,,,11.777919007789142,,,,,,,,,,,,9.272948151106249,,,,,,,,,,,5.478070154289215,,,,,11.777919007789142,,,,,,,,,,,,,,,,,,,,,,7.024386306169014,9.580020105187597,,,,,,,,,,,,,,,,4.306135258436866,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.128490477670148,,,,7.024386306169014,,,,,,,,,,,4.96921177879121,,,,9.580020105187597,,,,,,,8.364480681578453,,,,,,,,,4.306135258436866,,,,,
23,,,,,,,,5.478070154289215,,,,,,,8.364480681578453,,,,,,,,,,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,4.053949198627297,,,,,,,,,,,,,,,,9.272948151106249,,,,,,11.128490477670148,4.96921177879121,,,,,4.053949198627297,,,,11.777919007789142,,,,,,,,,,,,9.272948151106249,,,,,,,,,,,5.478070154289215,,,,,11.777919007789142,,,,,,,,,,,,,,,,,,,,,,7.024386306169014,9.580020105187597,,,,,,,,,,,,,,,,4.306135258436866,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.128490477670148,,,,7.024386306169014,,,,,,,,,,,4.96921177879121,,,,9.580020105187597,,,,,,,8.364480681578453,,,,,,,,,4.306135258436866,,,,,
24,,,,,,,,5.478070154289215,,,,,,,8.364480681578453,,,,,,,,,,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,4.053949198627297,,,,,,,,,,,,,,,,9.272948151106249,,,,,,11.128490477670148,4.96921177879121,,,,,4.053949198627297,,,,11.777919007789142,,,,,,,,,,,,9.272948151106249,,,,,,,,,,,5.478070154289215,,,,,11.777919007789142,,,,,,,,,,,,,,,,,,,,,,7.024386306169014,9.580020105187597,,,,,,,,,,,,,,,,4.306135258436866,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.128490477670148,,,,7.024386306169014,,,,,,,,,,,4.96921177879121,,,,9.580020105187597,,,,,,,8.364480681578453,,,,,,,,,4.306135258436866,,,,,
25,,,,,,,,5.478070154289215,,,,,,,8.364480681578453,,,,,,,,,,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,4.053949198627297,,,,,,,,,,,,,,,,9.272948151106249,,,,,,11.128490477670148,4.96921177879121,,,,,4.053949198627297,,,,11.777919007789142,,,,,,,,,,,,9.272948151106249,,,,,,,,,,,5.478070154289215,,,,,11.777919007789142,,,,,,,,,,,,,,,,,,,,,,7.024386306169014,9.580020105187597,,,,,,,,,,,,,,,,4.306135258436866,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.128490477670148,,,,7.024386306169014,,,,,,,,,,,4.96921177879121,,,,9.580020105187597,,,,,,,8.364480681578453,,,,,,,,,4.306135258436866,,,,,
26,,,,,,,,5.478070154289215,,,,,,,8.364480681578453,,,,,,,,,,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,4.053949198627297,,,,,,,,,,,,,,,,9.272948151106249,,,,,,11.128490477670148,4.96921177879121,,,,,4.053949198627297,,,,11.777919007789142,,,,,,,,,,,,9.272948151106249,,,,,,,,,,,5.478070154289215,,,,,11.777919007789142,,,,,,,,,,,,,,,,,,,,,,7.024386306169014,9.580020105187597,,,,,,,,,,,,,,,,4.306135258436866,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.128490477670148,,,,7.024386306169014,,,,,,,,,,,4.96921177879121,,,,9.580020105187597,,,,,,,8.364480681578453,,,,,,,,,4.306135258436866,,,,,
27,,,,,,,,5.478070154289215,,,,,,,8.364480681578453,,,,,,,,,,,8.056943309131281,,,,,,,,,,,,,,,,,,,,,,,,,4.053949198627297,,,,,,,,,,,,,,,,9.272948151106249,,,,,,11.128490477670148,4.96921177879121,,,,,4.053949198627297,,,,11.777919007789142,,,,,,,,,,,,9.272948151106249,,,,,,,,,,,5.478070154289215,,,,,11.777919007789142,,,,,,,,,,,,,,,,,,,,,,7.024386306169014,9.580020105187597,,,,,,,,,,,,10.329896434779279,,,,4.306135258436866,,8.056943309131281,,,,,,,,10.329896434779279,,,,,,,,,,,,,,,,,,,,,,,,,11.128490477670148,,,,7.024386306169014,,,,,,,,,,,4.96921177879121,,,,9.580020105187597,,,,,,,8.364480681578453,,,,,,,,,4.306135258436866,,,,,
