,"('A', 'A')","('A', 'E')","('A', 'H')","('A', 'D')","('A', 'F')","('A', 'C')","('A', 'I')","('A', 'J')","('A', 'B')","('A', 'G')","('E', 'A')","('E', 'E')","('E', 'H')","('E', 'D')","('E', 'F')","('E', 'C')","('E', 'I')","('E', 'J')","('E', 'B')","('E', 'G')","('H', 'A')","('H', 'E')","('H', 'H')","('H', 'D')","('H', 'F')","('H', 'C')","('H', 'I')","('H', 'J')","('H', 'B')","('H', 'G')","('D', 'A')","('D', 'E')","('D', 'H')","('D', 'D')","('D', 'F')","('D', 'C')","('D', 'I')","('D', 'J')","('D', 'B')","('D', 'G')","('F', 'A')","('F', 'E')","('F', 'H')","('F', 'D')","('F', 'F')","('F', 'C')","('F', 'I')","('F', 'J')","('F', 'B')","('F', 'G')","('C', 'A')","('C', 'E')","('C', 'H')","('C', 'D')","('C', 'F')","('C', 'C')","('C', 'I')","('C', 'J')","('C', 'B')","('C', 'G')","('I', 'A')","('I', 'E')","('I', 'H')","('I', 'D')","('I', 'F')","('I', 'C')","('I', 'I')","('I', 'J')","('I', 'B')","('I', 'G')","('J', 'A')","('J', 'E')","('J', 'H')","('J', 'D')","('J', 'F')","('J', 'C')","('J', 'I')","('J', 'J')","('J', 'B')","('J', 'G')","('B', 'A')","('B', 'E')","('B', 'H')","('B', 'D')","('B', 'F')","('B', 'C')","('B', 'I')","('B', 'J')","('B', 'B')","('B', 'G')","('G', 'A')","('G', 'E')","('G', 'H')","('G', 'D')","('G', 'F')","('G', 'C')","('G', 'I')","('G', 'J')","('G', 'B')","('G', 'G')"
10,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,
11,,,,,13.921795677048454,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,13.921795677048454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,
12,,,,,13.921795677048454,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,13.921795677048454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,
13,,,,,13.921795677048454,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,13.921795677048454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,
14,,,,,13.921795677048454,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,13.921795677048454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,
15,,,,,13.921795677048454,,,,11.394267984578835,10.904925124490397,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,13.921795677048454,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,11.394267984578835,,,,13.094304566778266,,,,,,10.904925124490397,,,,,,,,,
16,,,,,13.921795677048454,,,,11.394267984578835,10.904925124490397,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,13.921795677048454,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,11.394267984578835,,,,13.094304566778266,,,,,,10.904925124490397,,,,,,,,,
17,,,,,13.921795677048454,,,,11.394267984578835,10.904925124490397,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,13.921795677048454,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,11.394267984578835,,,,13.094304566778266,,,,,,10.904925124490397,,,,,,,,,
18,,,,,13.921795677048454,,,,11.394267984578835,10.904925124490397,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,13.921795677048454,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,11.394267984578835,,,,13.094304566778266,,,,,,10.904925124490397,,,,,,,,,
19,,,,,13.921795677048454,,,,11.394267984578835,10.904925124490397,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,13.921795677048454,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,11.394267984578835,,,,13.094304566778266,,,,,,10.904925124490397,,,,,,,,,
20,,,,,13.921795677048454,,,,11.394267984578835,10.904925124490397,,,,,,,,,,13.341104266407502,,,,,,,,9.011647870223289,,,,,,,,,,,,,13.921795677048454,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,11.394267984578835,,,,13.094304566778266,,,,,,10.904925124490397,13.341104266407502,,,,,,,,
21,,,,,,,,,,10.904925124490397,,,,,,,,,,13.341104266407502,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,13.094304566778266,,,,,,10.904925124490397,13.341104266407502,,,,,,,,
22,,,,,13.921795677048454,,,,11.394267984578835,10.904925124490397,,,,,,,,,,13.341104266407502,,,,,,,,9.011647870223289,,,,,,,,,,,,,13.921795677048454,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,11.394267984578835,,,,13.094304566778266,,,,,,10.904925124490397,13.341104266407502,,,,,,,,
23,,,,,13.921795677048454,,,,11.394267984578835,10.904925124490397,,,,,,,,,,13.341104266407502,,,,,,,,9.011647870223289,,,,,,,,,,,,,13.921795677048454,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,11.394267984578835,,,,13.094304566778266,,,,,,10.904925124490397,13.341104266407502,,,,,,,,
24,,,,,13.921795677048454,,,,11.394267984578835,10.904925124490397,,,,,,,,,,13.341104266407502,,,,,,,,9.011647870223289,,,,,,,,,,,,,13.921795677048454,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,11.394267984578835,,,,13.094304566778266,,,,,,10.904925124490397,13.341104266407502,,,,,,,,
25,,,,,13.921795677048454,,,5.265359696838637,11.394267984578835,10.904925124490397,,,,,,,,,,13.341104266407502,,,,,,,,9.011647870223289,,,,,,,,,,,,,13.921795677048454,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,5.265359696838637,,9.011647870223289,,,,,,,,11.394267984578835,,,,13.094304566778266,,,,,,10.904925124490397,13.341104266407502,,,,,,,,
26,,,,,13.921795677048454,,,5.265359696838637,11.394267984578835,10.904925124490397,,,8.701809671168826,,,,,,,13.341104266407502,,8.701809671168826,,,,,,9.011647870223289,,,,,,,,,,,,,13.921795677048454,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,5.265359696838637,,9.011647870223289,,,,,,,,11.394267984578835,,,,13.094304566778266,,,,,,10.904925124490397,13.341104266407502,,,,,,,,
27,,,5.297972194380703,,13.921795677048454,,,5.265359696838637,11.394267984578835,10.904925124490397,,,8.701809671168826,,,,,,,13.341104266407502,5.297972194380703,8.701809671168826,,,,,,9.011647870223289,,,,,,,,,,,,,13.921795677048454,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,7.7787134167164185,,5.265359696838637,,9.011647870223289,,,,,,,,11.394267984578835,,,,13.094304566778266,,7.7787134167164185,,,,10.904925124490397,13.341104266407502,,,,,,,,
28,,,5.297972194380703,,,,,5.265359696838637,11.394267984578835,10.904925124490397,,,8.701809671168826,,,,,,,13.341104266407502,5.297972194380703,8.701809671168826,,,,,,9.011647870223289,,11.881619584333132,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,7.7787134167164185,,5.265359696838637,,9.011647870223289,,,,,,,,11.394267984578835,,,,13.094304566778266,,7.7787134167164185,,,,10.904925124490397,13.341104266407502,11.881619584333132,,,,,,,
29,,,5.297972194380703,,13.921795677048454,,,5.265359696838637,11.394267984578835,10.904925124490397,,,8.701809671168826,,,,,,,13.341104266407502,5.297972194380703,8.701809671168826,,,,,,,,11.881619584333132,,,,,,,14.852215206607578,,,,13.921795677048454,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,14.852215206607578,,,,,7.7787134167164185,,5.265359696838637,,,,,,,,,,11.394267984578835,,,,13.094304566778266,,7.7787134167164185,,,,10.904925124490397,13.341104266407502,11.881619584333132,,,,,,,
30,,,5.297972194380703,,13.921795677048454,,,5.265359696838637,11.394267984578835,10.904925124490397,,,8.701809671168826,,,,,,,13.341104266407502,5.297972194380703,8.701809671168826,,,,,,9.011647870223289,,11.881619584333132,,,,,,,14.852215206607578,,,,13.921795677048454,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,14.852215206607578,,,,,7.7787134167164185,,5.265359696838637,,9.011647870223289,,,,,,,,11.394267984578835,,,,13.094304566778266,,7.7787134167164185,,,,10.904925124490397,13.341104266407502,11.881619584333132,,,,,,,
31,,,5.297972194380703,,,12.415504997598328,,5.265359696838637,11.394267984578835,10.904925124490397,,,8.701809671168826,,,,,,,13.341104266407502,5.297972194380703,8.701809671168826,,,,,,9.011647870223289,,11.881619584333132,,,,,,,14.852215206607578,,,,,,,,,,,,13.094304566778266,,12.415504997598328,,,,,,,,,,,,,14.852215206607578,,,,,7.7787134167164185,,5.265359696838637,,9.011647870223289,,,,,,,,11.394267984578835,,,,13.094304566778266,,7.7787134167164185,,,,10.904925124490397,13.341104266407502,11.881619584333132,,,,,,,
32,,,5.297972194380703,,13.921795677048454,12.415504997598328,,5.265359696838637,11.394267984578835,10.904925124490397,,,8.701809671168826,,,,,,,13.341104266407502,5.297972194380703,8.701809671168826,,,,,,9.011647870223289,,11.881619584333132,,,,,,,,,,,13.921795677048454,,,,,,,,13.094304566778266,,12.415504997598328,,,,,,,,,,,,,,,,,,7.7787134167164185,,5.265359696838637,,9.011647870223289,,,,,,,,11.394267984578835,,,,13.094304566778266,,7.7787134167164185,,,,10.904925124490397,13.341104266407502,11.881619584333132,,,,,,,
33,,,5.297972194380703,,13.921795677048454,12.415504997598328,,5.265359696838637,11.394267984578835,10.904925124490397,,,8.701809671168826,,,,,,,13.341104266407502,5.297972194380703,8.701809671168826,,,,,,9.011647870223289,,11.881619584333132,,,,,,,14.852215206607578,,,,13.921795677048454,,,,,,,,13.094304566778266,,12.415504997598328,,,,,,,,,,,,,14.852215206607578,,,,,7.7787134167164185,,5.265359696838637,,9.011647870223289,,,,,,,,11.394267984578835,,,,13.094304566778266,,7.7787134167164185,,,,10.904925124490397,13.341104266407502,11.881619584333132,,,,,,,
34,,,5.297972194380703,,13.921795677048454,12.415504997598328,,5.265359696838637,11.394267984578835,10.904925124490397,,,8.701809671168826,,,,,,,13.341104266407502,5.297972194380703,8.701809671168826,,,,,,,,11.881619584333132,,,,,,,14.852215206607578,,,,13.921795677048454,,,,,,,,13.094304566778266,,12.415504997598328,,,,,,,,,,,,,14.852215206607578,,,,,7.7787134167164185,,5.265359696838637,,,,,,,,,,11.394267984578835,,,,13.094304566778266,,7.7787134167164185,,,,10.904925124490397,13.341104266407502,11.881619584333132,,,,,,,
35,,,5.297972194380703,,,12.415504997598328,,5.265359696838637,11.394267984578835,,,,,,,,,,9.492090462838537,13.341104266407502,5.297972194380703,,,,,,,9.011647870223289,,11.881619584333132,,,,,,,14.852215206607578,,,,,,,,,,,,13.094304566778266,,12.415504997598328,,,,,,,,,,,,,14.852215206607578,,,,,7.7787134167164185,,5.265359696838637,,9.011647870223289,,,,,,,,11.394267984578835,9.492090462838537,,,13.094304566778266,,7.7787134167164185,,,,,13.341104266407502,11.881619584333132,,,,,,,
36,,,5.297972194380703,,13.921795677048454,12.415504997598328,,5.265359696838637,11.394267984578835,10.904925124490397,,,8.701809671168826,,,,,,9.492090462838537,13.341104266407502,5.297972194380703,8.701809671168826,,,,,,9.011647870223289,,11.881619584333132,,,,,,,14.852215206607578,,,,13.921795677048454,,,,,,,,13.094304566778266,,12.415504997598328,,,,,,,,,,,,,14.852215206607578,,,,,7.7787134167164185,,5.265359696838637,,9.011647870223289,,,,,,,,11.394267984578835,9.492090462838537,,,13.094304566778266,,7.7787134167164185,,,,10.904925124490397,13.341104266407502,11.881619584333132,,,,,,,
37,,,5.297972194380703,,13.921795677048454,12.415504997598328,,5.265359696838637,11.394267984578835,10.904925124490397,,,,,,,,,9.492090462838537,13.341104266407502,5.297972194380703,,,7.278982756515468,,,,9.011647870223289,,11.881619584333132,,,7.278982756515468,,,,14.852215206607578,,,,13.921795677048454,,,,,,,,13.094304566778266,,12.415504997598328,,,,,,5.788001980784582,,,,,,,14.852215206607578,,5.788001980784582,,,7.7787134167164185,,5.265359696838637,,9.011647870223289,,,,,,,,11.394267984578835,9.492090462838537,,,13.094304566778266,,7.7787134167164185,,,,10.904925124490397,13.341104266407502,11.881619584333132,,,,,,,
38,,,5.297972194380703,,13.921795677048454,12.415504997598328,,5.265359696838637,11.394267984578835,10.904925124490397,,,8.701809671168826,,,,,,9.492090462838537,,5.297972194380703,8.701809671168826,,7.278982756515468,,,,9.011647870223289,,11.881619584333132,,,7.278982756515468,,,,14.852215206607578,,,,13.921795677048454,,,,,,,,13.094304566778266,,12.415504997598328,,,,,,5.788001980784582,,,,,,,14.852215206607578,,5.788001980784582,,,7.7787134167164185,,5.265359696838637,,9.011647870223289,,,,,,,,11.394267984578835,9.492090462838537,,,13.094304566778266,,7.7787134167164185,,,,10.904925124490397,,11.881619584333132,,,,,,,
39,,,5.297972194380703,,13.921795677048454,12.415504997598328,,5.265359696838637,11.394267984578835,10.904925124490397,,,8.701809671168826,,,,,,9.492090462838537,13.341104266407502,5.297972194380703,8.701809671168826,,7.278982756515468,,,,9.011647870223289,,11.881619584333132,,,7.278982756515468,,,,14.852215206607578,,,,13.921795677048454,,,,,,,,13.094304566778266,,12.415504997598328,,,,,,5.788001980784582,,,,,,,14.852215206607578,,5.788001980784582,,,7.7787134167164185,,5.265359696838637,,9.011647870223289,,,,,,,,11.394267984578835,9.492090462838537,,,13.094304566778266,,7.7787134167164185,,,,10.904925124490397,13.341104266407502,11.881619584333132,,,,,,,
40,,,5.297972194380703,,13.921795677048454,12.415504997598328,,5.265359696838637,11.394267984578835,,,,8.701809671168826,,,,,,,13.341104266407502,5.297972194380703,8.701809671168826,,7.278982756515468,,,13.218025940068083,,,11.881619584333132,,,7.278982756515468,,,,14.852215206607578,,10.449414806032166,,13.921795677048454,,,,,11.037260313668911,,,13.094304566778266,,12.415504997598328,,,,11.037260313668911,,5.788001980784582,,,,,,13.218025940068083,14.852215206607578,,5.788001980784582,,,7.7787134167164185,,5.265359696838637,,9.011647870223289,,,,,,,,11.394267984578835,,,10.449414806032166,13.094304566778266,,7.7787134167164185,,,,,13.341104266407502,11.881619584333132,,,,,,,
41,,,5.297972194380703,,,12.415504997598328,,5.265359696838637,11.394267984578835,,,,,,,,,,,13.341104266407502,5.297972194380703,,,7.278982756515468,,,13.218025940068083,,,11.881619584333132,,,7.278982756515468,,,,14.852215206607578,,10.449414806032166,,,,,,,11.037260313668911,,,13.094304566778266,,12.415504997598328,,,,11.037260313668911,,5.788001980784582,,,,,,13.218025940068083,14.852215206607578,,5.788001980784582,,,7.7787134167164185,,5.265359696838637,,9.011647870223289,,,,,,,,11.394267984578835,,,10.449414806032166,13.094304566778266,,7.7787134167164185,,,,,13.341104266407502,11.881619584333132,,,,,,,
42,,,5.297972194380703,,13.921795677048454,12.415504997598328,,5.265359696838637,11.394267984578835,,,,8.701809671168826,,,,,,,13.341104266407502,5.297972194380703,8.701809671168826,,7.278982756515468,,,13.218025940068083,,,11.881619584333132,,,7.278982756515468,,,,14.852215206607578,,10.449414806032166,,13.921795677048454,,,,,11.037260313668911,,,13.094304566778266,,12.415504997598328,,,,11.037260313668911,,5.788001980784582,,,,,,13.218025940068083,14.852215206607578,,5.788001980784582,,,7.7787134167164185,,5.265359696838637,,9.011647870223289,,,,,,,,11.394267984578835,,,10.449414806032166,13.094304566778266,,7.7787134167164185,,,,,13.341104266407502,11.881619584333132,,,,,,,
43,,,5.297972194380703,,13.921795677048454,12.415504997598328,,5.265359696838637,11.394267984578835,,,,8.701809671168826,,,,,,,13.341104266407502,5.297972194380703,8.701809671168826,,7.278982756515468,,,13.218025940068083,,11.981393949882268,11.881619584333132,,,7.278982756515468,,,,14.852215206607578,,10.449414806032166,,13.921795677048454,,,,,11.037260313668911,,,13.094304566778266,,12.415504997598328,,,,11.037260313668911,,,,,,,,13.218025940068083,14.852215206607578,,,,,7.7787134167164185,,5.265359696838637,,,,,,,,,,11.394267984578835,,11.981393949882268,10.449414806032166,13.094304566778266,,7.7787134167164185,,,,,13.341104266407502,11.881619584333132,,,,,,,
44,,,,,13.921795677048454,12.415504997598328,,5.265359696838637,11.394267984578835,,,,8.701809671168826,,,5.96716376833464,,,,13.341104266407502,,8.701809671168826,,7.278982756515468,,,13.218025940068083,,11.981393949882268,11.881619584333132,,,7.278982756515468,,,,14.852215206607578,,10.449414806032166,,13.921795677048454,,,,,11.037260313668911,,,13.094304566778266,,12.415504997598328,5.96716376833464,,,11.037260313668911,,5.788001980784582,,,,,,13.218025940068083,14.852215206607578,,5.788001980784582,,,7.7787134167164185,,5.265359696838637,,,,,,,,,,11.394267984578835,,11.981393949882268,10.449414806032166,13.094304566778266,,7.7787134167164185,,,,,13.341104266407502,11.881619584333132,,,,,,,
45,,,5.297972194380703,,13.921795677048454,12.415504997598328,,5.265359696838637,11.394267984578835,,,,8.701809671168826,,,5.96716376833464,,,,13.341104266407502,5.297972194380703,8.701809671168826,,7.278982756515468,,,13.218025940068083,,,11.881619584333132,,,7.278982756515468,,,,14.852215206607578,,10.449414806032166,,13.921795677048454,,,,,11.037260313668911,,,13.094304566778266,,12.415504997598328,5.96716376833464,,,11.037260313668911,,5.788001980784582,,,,,,13.218025940068083,14.852215206607578,,5.788001980784582,,,7.7787134167164185,,5.265359696838637,,,,,,,,,,11.394267984578835,,,10.449414806032166,13.094304566778266,,7.7787134167164185,,,,,13.341104266407502,11.881619584333132,,,,,,,
46,,,5.297972194380703,,13.921795677048454,12.415504997598328,,5.265359696838637,11.394267984578835,,,,8.701809671168826,13.85451747936807,,5.96716376833464,,,,13.341104266407502,5.297972194380703,8.701809671168826,,7.278982756515468,,,13.218025940068083,,11.981393949882268,11.881619584333132,,13.85451747936807,7.278982756515468,,,,14.852215206607578,,10.449414806032166,,13.921795677048454,,,,,11.037260313668911,,,13.094304566778266,,12.415504997598328,5.96716376833464,,,11.037260313668911,,,,,,,,13.218025940068083,14.852215206607578,,,,,7.7787134167164185,,5.265359696838637,,,,,,,,,,11.394267984578835,,11.981393949882268,10.449414806032166,13.094304566778266,,7.7787134167164185,,,,,13.341104266407502,11.881619584333132,,,,,,,
47,,,5.297972194380703,,,12.415504997598328,,5.265359696838637,11.394267984578835,,,,8.701809671168826,13.85451747936807,,5.96716376833464,,,,13.341104266407502,5.297972194380703,8.701809671168826,,7.278982756515468,,,13.218025940068083,,11.981393949882268,11.881619584333132,,13.85451747936807,7.278982756515468,,,,14.852215206607578,,10.449414806032166,,,,,,,11.037260313668911,,,13.094304566778266,,12.415504997598328,5.96716376833464,,,11.037260313668911,,5.788001980784582,,,,,,13.218025940068083,14.852215206607578,,5.788001980784582,,,7.7787134167164185,,5.265359696838637,,,,,,,,,,11.394267984578835,,11.981393949882268,10.449414806032166,13.094304566778266,,7.7787134167164185,,,,,13.341104266407502,11.881619584333132,,,,,,,
48,,,5.297972194380703,,13.921795677048454,12.415504997598328,,5.265359696838637,,,,,8.701809671168826,13.85451747936807,,5.96716376833464,,,,13.341104266407502,5.297972194380703,8.701809671168826,,7.278982756515468,,6.248261628532093,13.218025940068083,,11.981393949882268,11.881619584333132,,13.85451747936807,7.278982756515468,,,6.022102765198487,14.852215206607578,13.664836667552699,10.449414806032166,,13.921795677048454,,,,,11.037260313668911,,,13.094304566778266,,12.415504997598328,5.96716376833464,6.248261628532093,6.022102765198487,11.037260313668911,,5.788001980784582,,,,,,13.218025940068083,14.852215206607578,,5.788001980784582,,,7.7787134167164185,,5.265359696838637,,,13.664836667552699,,,,,,,,,11.981393949882268,10.449414806032166,13.094304566778266,,7.7787134167164185,,,,,13.341104266407502,11.881619584333132,,,,,,,
